UNIDAD,RENIDMIENTO
F-002,"2,37341"
F-003,"2,37341"
F-004,"2,37341"
F-005,"2,37341"
F-006,"2,37341"
F-007,"2,37341"
F-008,"2,37341"
F-009,"2,37341"
F-010,"2,37341"
F-011,"2,37341"
F-012,"2,37341"
F-013,"2,37341"
F-014,"2,37341"
F-015,"2,37341"
F-016,"2,37341"
F-017,"2,37341"
F-019,"2,37341"
F-021,"2,45098"
F-022,"2,45098"
F-023,"2,45098"
F-024,"2,45098"
F-025,"2,45098"
F-026,"2,45098"
F-027,"2,45098"
F-028,"2,45098"
F-029,"2,45098"
F-030,"2,45098"
F-031,"2,45098"
F-040,"2,45098"
F-033,"2,45098"
F-034,"2,60127"
F-035,"2,60127"
F-036,"2,60127"
F-045,"2,11267"
F-042,"2,45098"
F-050,"2,37341"
F-051,"2,11267"
F-059,"2,11267"
F-060,"2,37341"
F-061,"2,37341"
F-069,"2,11267"
F-074,"2,11267"
F-082,"2,11267"
F-086,"2,37341"
F-087,"2,37341"
F-088,"2,37341"
F-089,"2,37341"
F-090,"2,37341"
F-091,"2,37341"
F-092,"2,37341"
F-097,"2,37341"
F-098,"2,37341"
F-099,"2,37341"
F-100,"2,11267"
F-107,"2,37341"
F-108,"2,37341"
F-110,"2,37341"
