tipo,cruce,origen,destino,pago_operador,prioridad
MDC-01,,FLETES SOTELO,GYSA JUAREZ JDC,250.0,1
MDC-01,,FLETES SOTELO,GYSA JUAREZ 3,125.0,1
S-TER-02,PUENTE ZARAGOZA,FLETES SOTELO,LEGRAND DPC,1125.0,10
PTT-00,,SMTC PLANTA 1,BASE SOTELO CHIHUAHUA,0.0,1
TRI-02,PUENTE ZARAGOZA,RECINTO FISCAL - PUENTE ZARAGOZA,FLETES SOTELO,500.0,10
TRE-02,PUENTE ZARAGOZA,FLETES SOTELO,KORIMA / KUNA LOOP,500.0,10
MDC-01,,ATLAS AEROSPACE,BASE SOTELO CHIHUAHUA,125.0,1
IMP-02,PUENTE ZARAGOZA,18 LEIGH FISHER,GYSA JUAREZ 1,500.0,10
LOC-02,,GYSA  CDJ,GYSA JUAREZ 3,250.0,1
IMP-02,PUENTE ZARAGOZA,18 LEIGH FISHER,GYSA JUAREZ JDC,500.0,10
I-VACIO,PUENTE ZARAGOZA,P Y H TRAILER ENTERPRISES INC,ELECTROLUX / PRODUCTO TERMINADO,375.0,10
EXP-02,PUENTE ZARAGOZA,ELECTROLUX / PRODUCTO TERMINADO,P Y H TRAILER ENTERPRISES INC,500.0,10
LOC-01,,GYSA  CDJ,FLETES SOTELO,250.0,1
IMP-02,PUENTE ZARAGOZA,13699 GATEWAY WEST,GYSA  CDJ,500.0,10
PTT-00,,KORIMA / KUNA LOOP,13699 GATEWAY WEST,0.0,1
LOC-01,,FLETES SOTELO,GYSA JUAREZ 1,125.0,1
MDC-01,,GYSA JUAREZ 5,FLETES SOTELO,250.0,1
LOC-03,,FEDEX EXPRESS,UPS FACILITY 10 LEIGHT FISHER,250.0,1
EXP-02,PUENTE ZARAGOZA,ELECTROLUX / REFRIGERADORES,P Y H TRAILER ENTERPRISES INC,500.0,10
LOC-04,,EASTLAKE LOGISTICS PARK,KORIMA / KUNA LOOP,250.0,1
