Coordenada,Origen,Destino,Tipo,Cruce, pago 
2904627-23,FLETES SOTELO,GYSA JUAREZ JDC,MDC-01,, $250.00 
2904634-22,FLETES SOTELO,GYSA JUAREZ 3,MDC-01,, $125.00 
2905433-5,FLETES SOTELO,LEGRAND DPC,S-TER-02,PUENTE ZARAGOZA," $1,125.00 "
2905433-3,SMTC PLANTA 1,BASE SOTELO CHIHUAHUA,PTT-00,, $-   
2905028-3,RECINTO FISCAL - PUENTE ZARAGOZA,FLETES SOTELO,TRI-02,PUENTE ZARAGOZA, $500.00 
2905430-4,FLETES SOTELO,KORIMA / KUNA LOOP,TRE-02,PUENTE ZARAGOZA, $500.00 
2905430-2,ATLAS AEROSPACE,BASE SOTELO CHIHUAHUA,MDC-01,, $125.00 
2905175-2,18 LEIGH FISHER,GYSA JUAREZ 1,IMP-02,PUENTE ZARAGOZA, $500.00 
2905409-2,GYSA  CDJ,GYSA JUAREZ 3,LOC-02,, $250.00 
2905261-3,18 LEIGH FISHER,GYSA JUAREZ JDC,IMP-02,PUENTE ZARAGOZA, $500.00 
2905363-2,P Y H TRAILER ENTERPRISES INC,ELECTROLUX / PRODUCTO TERMINADO,I-VACIO,PUENTE ZARAGOZA, $375.00 
2905429-1,ELECTROLUX / PRODUCTO TERMINADO,P Y H TRAILER ENTERPRISES INC,EXP-02,PUENTE ZARAGOZA, $500.00 
2905428-3,GYSA  CDJ,FLETES SOTELO,LOC-01,, $250.00 
2905428-2,13699 GATEWAY WEST,GYSA  CDJ,IMP-02,PUENTE ZARAGOZA, $500.00 
2905428-1,KORIMA / KUNA LOOP,13699 GATEWAY WEST,PTT-00,, $-   
2905424-1,FLETES SOTELO,GYSA JUAREZ 1,LOC-01,, $125.00 
2904636-13,GYSA JUAREZ 5,FLETES SOTELO,MDC-01,, $250.00 
2905204-5,FEDEX EXPRESS,UPS FACILITY 10 LEIGHT FISHER,LOC-03,, $250.00 
2905426-1,ELECTROLUX / REFRIGERADORES,P Y H TRAILER ENTERPRISES INC,EXP-02,PUENTE ZARAGOZA, $500.00 
2905425-5,EASTLAKE LOGISTICS PARK,KORIMA / KUNA LOOP,LOC-04,, $250.00 
2905425-4,FLETES SOTELO,EASTLAKE LOGISTICS PARK,TRE-QMS,PUENTE ZARAGOZA," $1,000.00 "
2905425-2,SAFRAN PLANTA 1 /EMX/ EVACUATION SY (AIR CRUSIERS),BASE SOTELO CHIHUAHUA,MDC-01,, $125.00 
2905358-3,ESCOTO CUSTOMS BROKERS INC,FLETES SOTELO,TRI-02,PUENTE ZARAGOZA, $500.00 
2905313-1,13699 GATEWAY WEST,18 LEIGH FISHER,PTT-00,, $-   
2905148-4,KORIMA / KUNA LOOP,13699 GATEWAY WEST,LOC-03,, $250.00 
2905394-1,GYSA JUAREZ 3,GYSA  CDJ,LOC-02,, $250.00 
2905028-2,RIO BRAVO INTERNACIONAL,RECINTO FISCAL - PUENTE ZARAGOZA,LOC-03,, $250.00 
2905358-2,CFI,ESCOTO CUSTOMS BROKERS INC,LOC-03,, $125.00 
2905258-3,SMTC PLANTA 1,BASE SOTELO CHIHUAHUA,MDC-01,, $125.00 
2905422-3,FLETES SOTELO,13699 GATEWAY WEST,TRE-02,, $500.00 
2905032-1,KORIMA / KUNA LOOP,ESCOTO CUSTOMS BROKERS INC,LOC-04,, $250.00 
2905204-4,FEDEX GROUND,FEDEX EXPRESS,LOC-03,, $250.00 
2905421-1,ELECTROLUX / PRODUCTO TERMINADO,MESILLA VALLEY TRANSPORTATION,EXP-02,PUENTE ZARAGOZA, $500.00 
2905339-2,GYSA JUAREZ 1,FLETES SOTELO,PTT-00,, $-   
2905363-1,ARIES WORLDWIDE LOGISTICS C/O,P Y H TRAILER ENTERPRISES INC,PTT-00,, $-   
2905148-3,13699 GATEWAY WEST,KORIMA / KUNA LOOP,PTT-00,, $-   
2905350-1,MELTON,ELECTROLUX / ESTAMPADOS,IMP-01,PUENTE ZARAGOZA, $500.00 
2905409-1,FLETES SOTELO,GYSA  CDJ,PTT-00,, $-   
2905043-6,SAFRAN PLANTA 1 /EMX/ EVACUATION SY (AIR CRUSIERS),BASE SOTELO CHIHUAHUA,LOC-01,, $125.00 
2905358-1,KORIMA / KUNA LOOP,CFI,PTT-00,, $-   
2905297-2,STAGECOACH / 5850 WELCH AVE.,ELECTROLUX / REFRIGERADORES,IMP-01,PUENTE ZARAGOZA, $500.00 
2905360-1,SMTC PULLMAN,CFI,PTT-00,, $-   
2905418-1,SAFRAN PLANTA 6 / SEM/ SAFRAN AEROSYTEMS MEXICO,BASE SOTELO CHIHUAHUA,LOC-01,, $125.00 
2904802-7,"TMX LOGISTICS, INC.",13699 GATEWAY WEST,LOC-04,, $250.00 
2905433-1,BASE SOTELO CHIHUAHUA,SMTC PLANTA 1,LOC-01,, $125.00 
2905432-1,XYLEM,BASE SOTELO CHIHUAHUA,LOC-01,, $125.00 
2905238-3,FLETES SOTELO,CFI,TRE-02,PUENTE ZARAGOZA, $500.00 
2904630-9,GYSA  CDJ,FLETES SOTELO,MDC-01,, $250.00 
2905385-4,BODEGA NUEVA XOMOX,BASE SOTELO CHIHUAHUA,PTT-00,, $-   
2905385-3,BASE SOTELO CHIHUAHUA,BODEGA NUEVA XOMOX,MDC-01,, $125.00 
2905385-1,IBCA LOGYSTICS,FLETES SOTELO,TRI-02,PUENTE ZARAGOZA, $500.00 
2905303-1,FLETES SOTELO,RIO BRAVO INTERNACIONAL,E-VACIO,PUENTE AMERICAS, $250.00 
