Origen,Destino,km
GYSA ASCENCION,FLETES SOTELO,200
APTIV GUAMUCHIL FV52,APTIV / RIO BRAVO 7 FV32,1330
APTIV GUAMUCHIL FV52,FLETES SOTELO,1330
ATLAS AEROSPACE,FLETES SOTELO,375
ATLAS AEROSPACE,PRECOS ZARAGOZA,375
BASE SOTELO CHIHUAHUA,CASETA DE VILLA AHUMADA,130
BASE SOTELO CHIHUAHUA,FLETES SOTELO,375
BASE SOTELO CHIHUAHUA,PRECOS ZARAGOZA,375
BASE SOTELO CHIHUAHUA,YARDA DEL SIETE,375
DTR,PRECOS ZARAGOZA,375
DTR,FLETES SOTELO,375
GYSA OBREGON 2,FLETES SOTELO,1021
IMPULSORA GANE,FLETES SOTELO,375
NORDAM,FLETES SOTELO,375
NORDAM,PRECOS ZARAGOZA,375
PACTIV DE MEXICO S. DE R.L DE C.V.,FLETES SOTELO,375
SAFRAN PLANTA 3/OSM/OXYGEN SYSTEMS,FLETES SOTELO,375
SAFRAN PLANTA 3 /WWM/ WATER & WASTE MEX (MONOGRAM),FLETES SOTELO,375
SMTC PLANTA 1,FLETES SOTELO,375
THUASNE MX,FLETES SOTELO,375
XOMOX CHIHUAHUA S.A DE C.V.,FLETES SOTELO,375
YARDA SOTELO OBREGON,FLETES SOTELO,1021
YARDA SOTELO OBREGON,PRECOS ZARAGOZA,1021
YAZAKI COMPONENTES PLANTA 3,FLETES SOTELO,375
APTIV MOCHIS FV59,YARDA SOTELO OBREGON,232
BASE SOTELO CHIHUAHUA,FLETES SOTELO,375
DEMINSA SA DE CV,YARDA SOTELO OBREGON,255
FLETES SOTELO,APTIV GUAMUCHIL FV52,1330
FLETES SOTELO,BASE SOTELO CHIHUAHUA,375
FLETES SOTELO,IMPULSORA GANE,375
FLETES SOTELO,YARDA SOTELO OBREGON,1021
FLETES SOTELO,YAZAKI COMPONENTES PLANTA 3,375
GYSA  CDJ,FLETES SOTELO,375
GYSA ASCENCION,FLETES SOTELO,200
GYSA BACUM,GYSA OBREGON PDC,45
GYSA BACUM,YARDA SOTELO OBREGON,45
GYSA ETCHOJOA,GYSA OBREGON PDC,97
GYSA NAVOJOA,GYSA OBREGON ODC,67
GYSA NAVOJOA,GYSA OBREGON PDC,67
GYSA NAVOJOA,YARDA SOTELO OBREGON,67
GYSA OBREGON ODC,GYSA BACUM,45
YARDA SOTELO OBREGON,GYSA BACUM,45
GYSA OBREGON ODC,GYSA ETCHOJOA,97
GYSA OBREGON ODC,GYSA NAVOJOA,67
SAFRAN PLANTA 1 /EMX/ EVACUATION SY (AIR CRUSIERS),FLETES SOTELO,375
SAFRAN PLANTA 3 /WWM/ WATER & WASTE MEX (MONOGRAM),FLETES SOTELO,375
YARDA SOTELO OBREGON,FLETES SOTELO,1021
YARDA SOTELO OBREGON,GYSA ETCHOJOA,97
APTIV / RIO BRAVO 7 FV32,APTIV GUAMUCHIL FV52,1330
APTIV MOCHIS FV59,APTIV GUAMUCHIL FV52,106
BASE SOTELO CHIHUAHUA,APTIV MOCHIS FV59,1363
BASE SOTELO CHIHUAHUA,APTIV RIO BRAVO 4 FV33,375
